"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_THEHIVE_WEAPON_PACKAGE_AK101","Componenti - #STR_CfgWeapons_AK1010","Weapon Components - #STR_CfgWeapons_AK1010","Součásti zbraně - #STR_CfgWeapons_AK1010","Waffenkomponenten - #STR_CfgWeapons_AK1010","Компоненты оружия - #STR_CfgWeapons_AK1010","Komponenty broni - #STR_CfgWeapons_AK1010","Fegyveralkatrészek - #STR_CfgWeapons_AK1010","Componenti - #STR_CfgWeapons_AK1010","Componentes de armas - #STR_CfgWeapons_AK1010","Composants d'arme - #STR_CfgWeapons_AK1010","武器组件 - #STR_CfgWeapons_AK1010","武器部品 - #STR_CfgWeapons_AK1010","Componentes de armas - #STR_CfgWeapons_AK1010","武器组件 - #STR_CfgWeapons_AK1010"
"STR_THEHIVE_WEAPON_PACKAGE_AK74","Componenti - #STR_cfgWeapons_AK740","Weapon Components - #STR_cfgWeapons_AK740","Součásti zbraně - #STR_cfgWeapons_AK740","Waffenkomponenten - #STR_cfgWeapons_AK740","Компоненты оружия - #STR_cfgWeapons_AK740","Komponenty broni - #STR_cfgWeapons_AK740","Fegyveralkatrészek - #STR_cfgWeapons_AK740","Componenti - #STR_cfgWeapons_AK740","Componentes de armas - #STR_cfgWeapons_AK740","Composants d'arme - #STR_cfgWeapons_AK740","武器组件 - #STR_cfgWeapons_AK740","武器部品 - #STR_cfgWeapons_AK740","Componentes de armas - #STR_cfgWeapons_AK740","武器组件 - #STR_cfgWeapons_AK740"
"STR_THEHIVE_WEAPON_PACKAGE_AK74U","Componenti - #STR_cfgWeapons_AKS74U0","Weapon Components - #STR_cfgWeapons_AKS74U0","Součásti zbraně - #STR_cfgWeapons_AKS74U0","Waffenkomponenten - #STR_cfgWeapons_AKS74U0","Компоненты оружия - #STR_cfgWeapons_AKS74U0","Komponenty broni - #STR_cfgWeapons_AKS74U0","Fegyveralkatrészek - #STR_cfgWeapons_AKS74U0","Componenti - #STR_cfgWeapons_AKS74U0","Componentes de armas - #STR_cfgWeapons_AKS74U0","Composants d'arme - #STR_cfgWeapons_AKS74U0","武器组件 - #STR_cfgWeapons_AKS74U0","武器部品 - #STR_cfgWeapons_AKS74U0","Componentes de armas - #STR_cfgWeapons_AKS74U0","武器组件 - #STR_cfgWeapons_AKS74U0"
"STR_THEHIVE_WEAPON_PACKAGE_M16A2","Componenti - #STR_M16A2_0","Weapon Components - #STR_M16A2_0","Součásti zbraně - #STR_M16A2_0","Waffenkomponenten - #STR_M16A2_0","Компоненты оружия - #STR_M16A2_0","Komponenty broni - #STR_M16A2_0","Fegyveralkatrészek - #STR_M16A2_0","Componenti - #STR_M16A2_0","Componentes de armas - #STR_M16A2_0","Composants d'arme - #STR_M16A2_0","武器组件 - #STR_M16A2_0","武器部品 - #STR_M16A2_0","Componentes de armas - #STR_M16A2_0","武器组件 - #STR_M16A2_0"
"STR_THEHIVE_WEAPON_PACKAGE_M4A1","Componenti - #STR_cfgWeapons_M4A10","Weapon Components - #STR_cfgWeapons_M4A10","Součásti zbraně - #STR_cfgWeapons_M4A10","Waffenkomponenten - #STR_cfgWeapons_M4A10","Компоненты оружия - #STR_cfgWeapons_M4A10","Komponenty broni - #STR_cfgWeapons_M4A10","Fegyveralkatrészek - #STR_cfgWeapons_M4A10","Componenti - #STR_cfgWeapons_M4A10","Componentes de armas - #STR_cfgWeapons_M4A10","Composants d'arme - #STR_cfgWeapons_M4A10","武器组件 - #STR_cfgWeapons_M4A10","武器部品 - #STR_cfgWeapons_M4A10","Componentes de armas - #STR_cfgWeapons_M4A10","武器组件 - #STR_cfgWeapons_M4A10"
"STR_THEHIVE_WEAPON_PACKAGE_SV98","Componenti - #STR_cfgweapons_SV980","Weapon Components - #STR_cfgweapons_SV980","Součásti zbraně - #STR_cfgweapons_SV980","Waffenkomponenten - #STR_cfgweapons_SV980","Компоненты оружия - #STR_cfgweapons_SV980","Komponenty broni - #STR_cfgweapons_SV980","Fegyveralkatrészek - #STR_cfgweapons_SV980","Componenti - #STR_cfgweapons_SV980","Componentes de armas - #STR_cfgweapons_SV980","Composants d'arme - #STR_cfgweapons_SV980","武器组件 - #STR_cfgweapons_SV980","武器部品 - #STR_cfgweapons_SV980","Componentes de armas - #STR_cfgweapons_SV980","武器组件 - #STR_cfgweapons_SV980"
"STR_THEHIVE_WEAPON_PACKAGE_ASVAL","Componenti - #STR_cfgWeapons_ASVAL0","Weapon Components - #STR_cfgWeapons_ASVAL0","Součásti zbraně - #STR_cfgWeapons_ASVAL0","Waffenkomponenten - #STR_cfgWeapons_ASVAL0","Компоненты оружия - #STR_cfgWeapons_ASVAL0","Komponenty broni - #STR_cfgWeapons_ASVAL0","Fegyveralkatrészek - #STR_cfgWeapons_ASVAL0","Componenti - #STR_cfgWeapons_ASVAL0","Componentes de armas - #STR_cfgWeapons_ASVAL0","Composants d'arme - #STR_cfgWeapons_ASVAL0","武器组件 - #STR_cfgWeapons_ASVAL0","武器部品 - #STR_cfgWeapons_ASVAL0","Componentes de armas - #STR_cfgWeapons_ASVAL0","武器组件 - #STR_cfgWeapons_ASVAL0"
"STR_THEHIVE_WEAPON_PACKAGE_M14","Componenti - #STR_cfgWeapons_M140","Weapon Components - #STR_cfgWeapons_M140","Součásti zbraně - #STR_cfgWeapons_M140","Waffenkomponenten - #STR_cfgWeapons_M140","Компоненты оружия - #STR_cfgWeapons_M140","Komponenty broni - #STR_cfgWeapons_M140","Fegyveralkatrészek - #STR_cfgWeapons_M140","Componenti - #STR_cfgWeapons_M140","Componentes de armas - #STR_cfgWeapons_M140","Composants d'arme - #STR_cfgWeapons_M140","武器组件 - #STR_cfgWeapons_M140","武器部品 - #STR_cfgWeapons_M140","Componentes de armas - #STR_cfgWeapons_M140","武器组件 - #STR_cfgWeapons_M140"
"STR_THEHIVE_WEAPON_PACKAGE_WIN70","Componenti - #STR_cfgWeapons_Winchester700","Weapon Components - #STR_cfgWeapons_Winchester700","Součásti zbraně - #STR_cfgWeapons_Winchester700","Waffenkomponenten - #STR_cfgWeapons_Winchester700","Компоненты оружия - #STR_cfgWeapons_Winchester700","Komponenty broni - #STR_cfgWeapons_Winchester700","Fegyveralkatrészek - #STR_cfgWeapons_Winchester700","Componenti - #STR_cfgWeapons_Winchester700","Componentes de armas - #STR_cfgWeapons_Winchester700","Composants d'arme - #STR_cfgWeapons_Winchester700","武器组件 - #STR_cfgWeapons_Winchester700","武器部品 - #STR_cfgWeapons_Winchester700","Componentes de armas - #STR_cfgWeapons_Winchester700","武器组件 - #STR_cfgWeapons_Winchester700"
"STR_THEHIVE_WEAPON_PACKAGE_SVD","Componenti - #STR_cfgWeapons_SVD0","Weapon Components - #STR_cfgWeapons_SVD0","Součásti zbraně - #STR_cfgWeapons_SVD0","Waffenkomponenten - #STR_cfgWeapons_SVD0","Компоненты оружия - #STR_cfgWeapons_SVD0","Komponenty broni - #STR_cfgWeapons_SVD0","Fegyveralkatrészek - #STR_cfgWeapons_SVD0","Componenti - #STR_cfgWeapons_SVD0","Componentes de armas - #STR_cfgWeapons_SVD0","Composants d'arme - #STR_cfgWeapons_SVD0","武器组件 - #STR_cfgWeapons_SVD0","武器部品 - #STR_cfgWeapons_SVD0","Componentes de armas - #STR_cfgWeapons_SVD0","武器组件 - #STR_cfgWeapons_SVD0"
"STR_THEHIVE_WEAPON_PACKAGE_VSS","Componenti - #STR_cfgWeapons_VSS0","Weapon Components - #STR_cfgWeapons_VSS0","Součásti zbraně - #STR_cfgWeapons_VSS0","Waffenkomponenten - #STR_cfgWeapons_VSS0","Компоненты оружия - #STR_cfgWeapons_VSS0","Komponenty broni - #STR_cfgWeapons_VSS0","Fegyveralkatrészek - #STR_cfgWeapons_VSS0","Componenti - #STR_cfgWeapons_VSS0","Componentes de armas - #STR_cfgWeapons_VSS0","Composants d'arme - #STR_cfgWeapons_VSS0","武器组件 - #STR_cfgWeapons_VSS0","武器部品 - #STR_cfgWeapons_VSS0","Componentes de armas - #STR_cfgWeapons_VSS0","武器组件 - #STR_cfgWeapons_VSS0"
"STR_THEHIVE_WEAPON_PACKAGE_CZ550","Componenti - #STR_cfgweapons_cz5500","Weapon Components - #STR_cfgweapons_cz5500","Součásti zbraně - #STR_cfgweapons_cz5500","Waffenkomponenten - #STR_cfgweapons_cz5500","Компоненты оружия - #STR_cfgweapons_cz5500","Komponenty broni - #STR_cfgweapons_cz5500","Fegyveralkatrészek - #STR_cfgweapons_cz5500","Componenti - #STR_cfgweapons_cz5500","Componentes de armas - #STR_cfgweapons_cz5500","Composants d'arme - #STR_cfgweapons_cz5500","武器组件 - #STR_cfgweapons_cz5500","武器部品 - #STR_cfgweapons_cz5500","Componentes de armas - #STR_cfgweapons_cz5500","武器组件 - #STR_cfgweapons_cz5500"
"STR_THEHIVE_WEAPON_PACKAGE_G36","Componenti - #STR_EXPANSION_G36C","Weapon Components - #STR_EXPANSION_G36C","Součásti zbraně - #STR_EXPANSION_G36C","Waffenkomponenten - #STR_EXPANSION_G36C","Компоненты оружия - #STR_EXPANSION_G36C","Komponenty broni - #STR_EXPANSION_G36C","Fegyveralkatrészek - #STR_EXPANSION_G36C","Componenti - #STR_EXPANSION_G36C","Componentes de armas - #STR_EXPANSION_G36C","Composants d'arme - #STR_EXPANSION_G36C","武器组件 - #STR_EXPANSION_G36C","武器部品 - #STR_EXPANSION_G36C","Componentes de armas - #STR_EXPANSION_G36C","武器组件 - #STR_EXPANSION_G36C"
"STR_THEHIVE_WEAPON_PACKAGE_MOSIN","Componenti - #STR_cfgWeapons_Mosin91300","Weapon Components - #STR_cfgWeapons_Mosin91300","Součásti zbraně - #STR_cfgWeapons_Mosin91300","Waffenkomponenten - #STR_cfgWeapons_Mosin91300","Компоненты оружия - #STR_cfgWeapons_Mosin91300","Komponenty broni - #STR_cfgWeapons_Mosin91300","Fegyveralkatrészek - #STR_cfgWeapons_Mosin91300","Componenti - #STR_cfgWeapons_Mosin91300","Componentes de armas - #STR_cfgWeapons_Mosin91300","Composants d'arme - #STR_cfgWeapons_Mosin91300","武器组件 - #STR_cfgWeapons_Mosin91300","武器部品 - #STR_cfgWeapons_Mosin91300","Componentes de armas - #STR_cfgWeapons_Mosin91300","武器组件 - #STR_cfgWeapons_Mosin91300"
"STR_THEHIVE_WEAPON_PACKAGE_PP19","Componenti - #STR_cfgWeapons_PP19_0","Weapon Components - #STR_cfgWeapons_PP19_0","Součásti zbraně - #STR_cfgWeapons_PP19_0","Waffenkomponenten - #STR_cfgWeapons_PP19_0","Компоненты оружия - #STR_cfgWeapons_PP19_0","Komponenty broni - #STR_cfgWeapons_PP19_0","Fegyveralkatrészek - #STR_cfgWeapons_PP19_0","Componenti - #STR_cfgWeapons_PP19_0","Componentes de armas - #STR_cfgWeapons_PP19_0","Composants d'arme - #STR_cfgWeapons_PP19_0","武器组件 - #STR_cfgWeapons_PP19_0","武器部品 - #STR_cfgWeapons_PP19_0","Componentes de armas - #STR_cfgWeapons_PP19_0","武器组件 - #STR_cfgWeapons_PP19_0"
"STR_THEHIVE_WEAPON_PACKAGE_SAIGA","Componenti - #STR_cfgWeapons_Saiga12KShotgun0","Weapon Components - #STR_cfgWeapons_Saiga12KShotgun0","Součásti zbraně - #STR_cfgWeapons_Saiga12KShotgun0","Waffenkomponenten - #STR_cfgWeapons_Saiga12KShotgun0","Компоненты оружия - #STR_cfgWeapons_Saiga12KShotgun0","Komponenty broni - #STR_cfgWeapons_Saiga12KShotgun0","Fegyveralkatrészek - #STR_cfgWeapons_Saiga12KShotgun0","Componenti - #STR_cfgWeapons_Saiga12KShotgun0","Componentes de armas - #STR_cfgWeapons_Saiga12KShotgun0","Composants d'arme - #STR_cfgWeapons_Saiga12KShotgun0","武器组件 - #STR_cfgWeapons_Saiga12KShotgun0","武器部品 - #STR_cfgWeapons_Saiga12KShotgun0","Componentes de armas - #STR_cfgWeapons_Saiga12KShotgun0","武器组件 - #STR_cfgWeapons_Saiga12KShotgun0"
"STR_THEHIVE_WEAPON_PACKAGE_VIKHR","Componenti - #STR_cfgWeapons_Vikhr0","Weapon Components - #STR_cfgWeapons_Vikhr0","Součásti zbraně - #STR_cfgWeapons_Vikhr0","Waffenkomponenten - #STR_cfgWeapons_Vikhr0","Компоненты оружия - #STR_cfgWeapons_Vikhr0","Komponenty broni - #STR_cfgWeapons_Vikhr0","Fegyveralkatrészek - #STR_cfgWeapons_Vikhr0","Componenti - #STR_cfgWeapons_Vikhr0","Componentes de armas - #STR_cfgWeapons_Vikhr0","Composants d'arme - #STR_cfgWeapons_Vikhr0","武器组件 - #STR_cfgWeapons_Vikhr0","武器部品 - #STR_cfgWeapons_Vikhr0","Componentes de armas - #STR_cfgWeapons_Vikhr0","武器组件 - #STR_cfgWeapons_Vikhr0"
"STR_THEHIVE_WEAPON_PACKAGE_M79","Componenti - #STR_M79","Weapon Components - #STR_M79","Součásti zbraně - #STR_M79","Waffenkomponenten - #STR_M79","Компоненты оружия - #STR_M79","Komponenty broni - #STR_M79","Fegyveralkatrészek - #STR_M79","Componenti - #STR_M79","Componentes de armas - #STR_M79","Composants d'arme - #STR_M79","武器组件 - #STR_M79","武器部品 - #STR_M79","Componentes de armas - #STR_M79","武器组件 - #STR_M79"
"STR_THEHIVE_WEAPON_PACKAGE_RPG7","Componenti - #STR_EXPANSION_RPG7","Weapon Components - #STR_EXPANSION_RPG7","Součásti zbraně - #STR_EXPANSION_RPG7","Waffenkomponenten - #STR_EXPANSION_RPG7","Компоненты оружия - #STR_EXPANSION_RPG7","Komponenty broni - #STR_EXPANSION_RPG7","Fegyveralkatrészek - #STR_EXPANSION_RPG7","Componenti - #STR_EXPANSION_RPG7","Componentes de armas - #STR_EXPANSION_RPG7","Composants d'arme - #STR_EXPANSION_RPG7","武器组件 - #STR_EXPANSION_RPG7","武器部品 - #STR_EXPANSION_RPG7","Componentes de armas - #STR_EXPANSION_RPG7","武器组件 - #STR_EXPANSION_RPG7"
"STR_THEHIVE_WEAPON_PACKAGE_LAW","Componenti - #STR_cfgWeapons_LAW0","Weapon Components - #STR_cfgWeapons_LAW0","Součásti zbraně - #STR_cfgWeapons_LAW0","Waffenkomponenten - #STR_cfgWeapons_LAW0","Компоненты оружия - #STR_cfgWeapons_LAW0","Komponenty broni - #STR_cfgWeapons_LAW0","Fegyveralkatrészek - #STR_cfgWeapons_LAW0","Componenti - #STR_cfgWeapons_LAW0","Componentes de armas - #STR_cfgWeapons_LAW0","Composants d'arme - #STR_cfgWeapons_LAW0","武器组件 - #STR_cfgWeapons_LAW0","武器部品 - #STR_cfgWeapons_LAW0","Componentes de armas - #STR_cfgWeapons_LAW0","武器组件 - #STR_cfgWeapons_LAW0"
"STR_THEHIVE_WEAPON_PACKAGE_DESCRIPTION","Custodia protettiva contenente i meccanismi primari di un'arma. Include componenti calibrati e difficilmente replicabili: canna, otturatore, gruppo di scatto, blocco di culatta e meccanismi interni di alimentazione.","Protective case containing the primary mechanisms of a firearm. Includes calibrated and difficult-to-replicate components: barrel, bolt, trigger assembly, breech block and internal feeding mechanisms.","Ochranné pouzdro obsahující hlavní mechanismy zbraně. Obsahuje kalibrované a obtížně reprodukovatelné součásti: hlaveň, závěr, spoušťový mechanismus, blok závěru a vnitřní podávací mechanismy.","Schutzbehälter mit den primären Mechanismen einer Waffe. Enthält kalibrierte und schwer nachzubauende Komponenten: Lauf, Verschluss, Abzugseinheit, Verschlussblock und interne Zuführmechanismen.","Защитный контейнер с основными механизмами оружия. Содержит откалиброванные и трудновоспроизводимые компоненты: ствол, затвор, ударно-спусковой механизм, казённый блок и внутренние механизмы подачи.","Ochronna obudowa zawierająca główne mechanizmy broni. Zawiera skalibrowane i trudne do odtworzenia elementy: lufę, zamek, mechanizm spustowy, blok zamkowy oraz wewnętrzne mechanizmy podawania.","Védőtok, amely egy fegyver elsődleges mechanizmusait tartalmazza. Kalibrált és nehezen reprodukálható alkatrészeket foglal magában: cső, zár, elsütőszerkezet, zárblokk és belső adagolómechanizmusok.","Custodia protettiva contenente i meccanismi primari di un'arma. Include componenti calibrati e difficilmente replicabili: canna, otturatore, gruppo di scatto, blocco di culatta e meccanismi interni di alimentazione.","Estuche protector que contiene los mecanismos principales de un arma. Incluye componentes calibrados y difíciles de replicar: cañón, cerrojo, conjunto de disparo, bloque de cierre y mecanismos internos de alimentación.","Boîtier de protection contenant les mécanismes principaux d'une arme. Comprend des composants calibrés et difficiles à reproduire : canon, culasse, mécanisme de détente, bloc de culasse et mécanismes internes d'alimentation.","装有武器核心机构的保护箱。内含经过校准且难以复制的部件：枪管、枪机、扳机组件、闭锁机构以及内部供弹系统。","武器の主要機構を収めた保護ケース。銃身、ボルト、トリガー機構、閉鎖機構、および内部給弾機構などの精密で再現困難な部品が含まれている。","Estojo de proteção contendo os mecanismos principais de uma arma. Inclui componentes calibrados e difíceis de reproduzir: cano, ferrolho, conjunto do gatilho, bloco da culatra e mecanismos internos de alimentação.","装有武器核心机构的保护箱。内含经过校准且难以复制的部件：枪管、枪机、扳机组件、闭锁机构以及内部供弹系统。""THEHIVE_CRAFTSUPPLIES","","","","","","","","","","","","","",""
"THEHIVE_CRAFT_SUPPLIES","","","","","","","","","","","","","",""
"STR_THEHIVE_CS_SUPPLY_FOOD","Scorte alimentari","Food Supplies","Potravinové zásoby","Lebensmittelvorräte","Продовольственные запасы","Zapasy żywności","Élelmiszerkészletek","Scorte alimentari","Suministros alimentarios","Réserves alimentaires","食品补给","食料備蓄","Suprimentos alimentares","食品补给"
"STR_THEHIVE_CS_SUPPLY_FOOD_DESCRIPTION","Custodia protettiva contenente ingredienti primari da cucina. Include materiali alimentari difficili da reperire: spezie, sale, zucchero, farine, erbe essiccate, condimenti, oli e addensanti.","Protective container holding primary cooking ingredients. Includes hard-to-obtain food supplies: spices, salt, sugar, flour, dried herbs, seasonings, oils and thickeners.","Ochranný kontejner obsahující základní kuchyňské suroviny. Obsahuje obtížně dostupné potraviny: koření, sůl, cukr, mouku, sušené bylinky, dochucovadla, oleje a zahušťovadla.","Schutzbehälter mit grundlegenden Kochzutaten. Enthält schwer erhältliche Lebensmittel: Gewürze, Salz, Zucker, Mehl, getrocknete Kräuter, Würzmittel, Öle und Verdickungsmittel.","Защитный контейнер с основными кулинарными ингредиентами. Содержит труднодоступные продукты: специи, соль, сахар, муку, сушёные травы, приправы, масла и загустители.","Ochronny pojemnik zawierający podstawowe składniki kuchenne. Zawiera trudno dostępne produkty spożywcze: przyprawy, sól, cukier, mąkę, suszone zioła, dodatki smakowe, oleje i zagęstniki.","Védőtok elsődleges konyhai alapanyagokkal. Nehezen beszerezhető élelmiszereket tartalmaz: fűszerek, só, cukor, liszt, szárított gyógynövények, ízesítők, olajok és sűrítőanyagok.","Custodia protettiva contenente ingredienti primari da cucina. Include materiali alimentari difficili da reperire: spezie, sale, zucchero, farine, erbe essiccate, condimenti, oli e addensanti.","Contenedor protector con ingredientes básicos de cocina. Incluye productos difíciles de conseguir: especias, sal, azúcar, harina, hierbas secas, condimentos, aceites y espesantes.","Conteneur de protection contenant des ingrédients de cuisine essentiels. Comprend des denrées difficiles à obtenir : épices, sel, sucre, farine, herbes séchées, assaisonnements, huiles et épaississants.","装有基础烹饪原料的防护箱。内含难以获取的食品材料：香料、盐、糖、面粉、干燥香草、调味品、食用油和增稠剂。","基本的な調理材料を収めた保護ケース。香辛料、塩、砂糖、小麦粉、乾燥ハーブ、調味料、油類、増粘剤などの入手困難な食材が含まれている。","Estojo de proteção contendo ingredientes básicos de cozinha. Inclui alimentos difíceis de obter: especiarias, sal, açúcar, farinhas, ervas secas, temperos, óleos e espessantes.","装有基础烹饪原料的防护箱。内含难以获取的食品材料：香料、盐、糖、面粉、干燥香草、调味品、食用油和增稠剂。"
"STR_THEHIVE_CS_SUPPLY_LAB","Componenti da laboratorio","Laboratory Components","Laboratorní součásti","Laborkomponenten","Лабораторные компоненты","Komponenty laboratoryjne","Laboratóriumi alkatrészek","Componenti da laboratorio","Componentes de laboratorio","Composants de laboratoire","实验室组件","研究用部品","Componentes de laboratório","实验室组件"
