"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TheHive_CS_LB_Bench_Public","Tavolo da Cucina Pubblico","Public Kitchen Workbench","Veřejný kuchyňský pracovní stůl","Öffentliche Küchenwerkbank","Общедоступный кухонный верстак","Publiczny stół kuchenny","Nyilvános konyhai munkapad","Tavolo da Cucina Pubblico","Mesa de cocina pública","Établi de cuisine public","公共厨房工作台","公共キッチン作業台","Bancada de cozinha pública","公共厨房工作台"
"STR_TheHive_CS_LB_Bench_Public_desc","Un tavolo usato usato per la realizzazione di alimenti, alcoolici e ... altro. Tutti i moduli sono accessibili ma non removibili. E' allacciato ad una fonte di energia stabile.","A workbench used to prepare food, alcoholic beverages and... other things. All modules are accessible but cannot be removed. It is connected to a stable power source.","Pracovní stůl používaný k přípravě jídla, alkoholických nápojů a... dalších věcí. Všechny moduly jsou přístupné, ale nelze je odstranit. Je připojen ke stabilnímu zdroji energie.","Eine Werkbank zur Herstellung von Lebensmitteln, alkoholischen Getränken und ... anderen Dingen. Alle Module sind zugänglich, können jedoch nicht entfernt werden. Sie ist an eine stabile Energiequelle angeschlossen.","Рабочий стол, используемый для приготовления еды, алкогольных напитков и... кое-чего ещё. Все модули доступны, но их нельзя снять. Верстак подключён к стабильному источнику энергии.","Stół roboczy używany do przygotowywania żywności, napojów alkoholowych i... innych rzeczy. Wszystkie moduły są dostępne, ale nie można ich zdemontować. Stół jest podłączony do stabilnego źródła energii.","Munkapad ételek, alkoholos italok és... egyéb dolgok elkészítéséhez. Minden modul hozzáférhető, de nem távolítható el. Stabil energiaforráshoz van csatlakoztatva.","Un tavolo usato usato per la realizzazione di alimenti, alcoolici e ... altro. Tutti i moduli sono accessibili ma non removibili. E' allacciato ad una fonte di energia stabile.","Una mesa de trabajo utilizada para preparar alimentos, bebidas alcohólicas y... otras cosas. Todos los módulos son accesibles, pero no se pueden retirar. Está conectada a una fuente de energía estable.","Un établi utilisé pour préparer des aliments, des boissons alcoolisées et... d'autres choses. Tous les modules sont accessibles, mais ne peuvent pas être retirés. Il est raccordé à une source d'énergie stable.","用于制作食物、酒精饮料以及……其他东西的工作台。所有模块均可使用，但无法拆除。工作台连接至稳定的能源供应。","食料、酒類、そして……その他のものを作るための作業台。すべてのモジュールにアクセスできるが、取り外すことはできない。安定した電源に接続されている。","Uma bancada usada para preparar alimentos, bebidas alcoólicas e... outras coisas. Todos os módulos estão acessíveis, mas não podem ser removidos. Está ligada a uma fonte de energia estável.","用于制作食物、酒精饮料以及……其他东西的工作台。所有模块均可使用，但无法拆除。工作台连接至稳定的能源供应。"
"STR_CB_AttachmentsProps_Power","Energia","Power","Energie","Energie","Энергия","Energia","Energia","Energia","Energía","Énergie","能源","エネルギー","Energia","能源"
"STR_CB_AttachmentsProps_Power_desc","Alloggiamento per le Bombole di Propano","Propane Cylinder Compartment","Prostor pro propanové láhve","Halterung für Propangasflaschen","Отсек для пропановых баллонов","Miejsce na butle z propanem","Rekesz a propánpalackok számára","Alloggiamento per le Bombole di Propano","Compartimento para bombonas de propano","Compartiment pour bouteilles de propane","丙烷气瓶存放区","プロパンボンベ用収納部","Compartimento para botijas de propano","丙烷气瓶存放区"
"STR_CB_AttachmentsProps_FoodSupplies","Rifornimenti SS.Brena","SS.Brena Supplies","Zásoby SS.Brena","SS.Brena-Vorräte","Припасы SS.Brena","Zaopatrzenie SS.Brena","SS.Brena készletek","Rifornimenti SS.Brena","Suministros SS.Brena","Fournitures SS.Brena","SS.Brena 补给品","SS.Brena補給品","Suprimentos SS.Brena","SS.Brena 补给品"
"STR_CB_AttachmentsProps_FoodSupplies_desc","Spazio per la Conservazione di Rifornimenti Alimentari SS.Brena","Storage Space for SS.Brena Food Supplies","Úložný prostor pro potravinové zásoby SS.Brena","Stauraum für SS.Brena-Lebensmittelvorräte","Место для хранения продовольственных запасов SS.Brena","Miejsce do przechowywania zapasów żywności SS.Brena","Tárolóhely az SS.Brena élelmiszerkészletei számára","Spazio per la Conservazione di Rifornimenti Alimentari SS.Brena","Espacio para almacenar suministros alimentarios SS.Brena","Espace de stockage pour les provisions alimentaires SS.Brena","SS.Brena 食品补给储存区","SS.Brena食料備蓄用収納スペース","Espaço para armazenar suprimentos alimentares SS.Brena","SS.Brena 食品补给储存区"
"STR_AttachmentsProps_CookingEquipment","Utensili","Cooking Utensils","Kuchyňské náčiní","Küchenutensilien","Кухонные принадлежности","Przybory kuchenne","Konyhai eszközök","Utensili","Utensilios de cocina","Ustensiles de cuisine","烹饪用具","調理器具","Utensílios de cozinha","烹饪用具"
"STR_AttachmentsProps_CookingEquipment_desc","Spazio per la conservazione di tools da cucina.","Storage space for cooking utensils.","Úložný prostor pro kuchyňské náčiní.","Stauraum für Küchenutensilien.","Место для хранения кухонных принадлежностей.","Miejsce do przechowywania przyborów kuchennych.","Tárolóhely a konyhai eszközök számára.","Spazio per la conservazione di tools da cucina.","Espacio para guardar utensilios de cocina.","Espace de rangement pour les ustensiles de cuisine.","用于存放烹饪用具的空间。","調理器具を収納するためのスペース。","Espaço para guardar utensílios de cozinha.","用于存放烹饪用具的空间。"
"STR_CB_AttachmentsProps_Modules","Moduli","Modules","Moduly","Module","Модули","Moduły","Modulok","Moduli","Módulos","Modules","模块","モジュール","Módulos","模块"
"STR_CB_AttachmentsProps_Modules_desc","Spazio per la sistemazione dei moduli da cucina","Space for installing cooking modules","Prostor pro umístění kuchyňských modulů","Platz für die Installation von Küchenmodulen","Место для установки кухонных модулей","Miejsce na montaż modułów kuchennych","Hely a konyhai modulok elhelyezésére","Spazio per la sistemazione dei moduli da cucina","Espacio para instalar módulos de cocina","Espace pour l'installation des modules de cuisine","用于安装烹饪模块的空间","調理モジュールを設置するためのスペース","Espaço para instalar módulos de cozinha","用于安装烹饪模块的空间"
"STR_AttachmentsProps_Ingredients","Ingredienti","Ingredients","Ingredience","Zutaten","Ингредиенты","Składniki","Hozzávalók","Ingredienti","Ingredientes","Ingrédients","食材","食材","Ingredientes","食材"
"STR_AttachmentsProps_Ingredients_desc","Spazio per ingredienti vari.","Storage space for various ingredients.","Úložný prostor pro různé ingredience.","Stauraum für verschiedene Zutaten.","Место для хранения различных ингредиентов.","Miejsce do przechowywania różnych składników.","Tárolóhely különféle hozzávalók számára.","Spazio per ingredienti vari.","Espacio para almacenar diversos ingredientes.","Espace de stockage pour divers ingrédients.","用于存放各种食材的空间。","さまざまな食材を保管するためのスペース。","Espaço para armazenar diversos ingredientes.","用于存放各种食材的空间。"
"STR_AttachmentsProps_CookingStorage","Storage Aggiuntivo","Additional Storage","Dodatečný úložný prostor","Zusätzlicher Stauraum","Дополнительное хранилище","Dodatkowe miejsce do przechowywania","További tárolóhely","Storage Aggiuntivo","Almacenamiento adicional","Stockage supplémentaire","额外储物空间","追加収納","Armazenamento adicional","额外储物空间"
"STR_AttachmentsProps_CookingStorage_desc","Spazio per la cassa di legno","Space for a Wooden Crate","Prostor pro dřevěnou bednu","Platz für eine Holzkiste","Место для деревянного ящика","Miejsce na drewnianą skrzynię","Hely egy faláda számára","Spazio per la cassa di legno","Espacio para una caja de madera","Espace pour une caisse en bois","用于放置木箱的空间","木箱を設置するためのスペース","Espaço para uma caixa de madeira","用于放置木箱的空间"
"TH_CS_CB_Kits_Scripts","","","","","","","","","","","","","",""
"STR_TH_CS_CB_KitBox_BASE","BASE: Kit Box","BASE: Kit Box","ZÁKLAD: Krabice se sadou","BASIS: Kit-Box","БАЗА: Коробка с комплектом","BAZA: Skrzynka zestawu","ALAP: Készletdoboz","BASE: Kit Box","BASE: Caja del kit","BASE : Boîte de kit","基础：套件箱","ベース：キットボックス","BASE: Caixa do kit","基础：套件箱"
"STR_TH_CS_CB_KitBox_BASE_desc","Classe base della gerarchia del Kit Box","Base class in the Kit Box hierarchy.","Základní třída hierarchie krabice se sadou.","Basisklasse der Kit-Box-Hierarchie.","Базовый класс иерархии коробки с комплектом.","Klasa bazowa hierarchii skrzynki zestawu.","A készletdoboz-hierarchia alaposztálya.","Classe base della gerarchia del Kit Box","Clase base de la jerarquía de la caja del kit.","Classe de base de la hiérarchie de la boîte de kit.","套件箱层级结构的基础类。","キットボックス階層のベースクラス。","Classe base da hierarquia da caixa do kit.","套件箱层级结构的基础类。"
"STR_TH_CS_CB_Kit_Modular","Kit Tavolo da Cucina Modulare","Modular Kitchen Workbench Kit","Sada modulárního kuchyňského pracovního stolu","Bausatz für modulare Küchenwerkbank","Комплект модульного кухонного верстака","Zestaw modułowego stołu kuchennego","Moduláris konyhai munkapad készlet","Kit Tavolo da Cucina Modulare","Kit de mesa de cocina modular","Kit d'établi de cuisine modulaire","模块化厨房工作台套件","モジュール式キッチン作業台キット","Kit de bancada de cozinha modular","模块化厨房工作台套件"
"STR_TH_CS_CB_Kit_Modular_desc","Un kit usato per costruire un Tavolo da Cucina Modulare.","A kit used to build a Modular Kitchen Workbench.","Sada používaná k sestavení modulárního kuchyňského pracovního stolu.","Ein Bausatz zum Aufbau einer modularen Küchenwerkbank.","Комплект для сборки модульного кухонного верстака.","Zestaw używany do budowy modułowego stołu kuchennego.","Készlet moduláris konyhai munkapad építéséhez.","Un kit usato per costruire un Tavolo da Cucina Modulare.","Kit utilizado para construir una mesa de cocina modular.","Kit utilisé pour construire un établi de cuisine modulaire.","用于建造模块化厨房工作台的套件。","モジュール式キッチン作業台を組み立てるためのキット。","Kit usado para construir uma bancada de cozinha modular.","用于建造模块化厨房工作台的套件。"
"STR_TH_CS_CB_Kit_Locked","Kit Tavolo da Cucina Bloccato","Locked Kitchen Workbench Kit","Sada uzamčeného kuchyňského pracovního stolu","Bausatz für gesperrte Küchenwerkbank","Комплект заблокированного кухонного верстака","Zestaw zablokowanego stołu kuchennego","Lezárt konyhai munkapad készlet","Kit Tavolo da Cucina Bloccato","Kit de mesa de cocina bloqueada","Kit d'établi de cuisine verrouillé","固定厨房工作台套件","固定式キッチン作業台キット","Kit de bancada de cozinha bloqueada","固定厨房工作台套件"
"STR_TH_CS_CB_Kit_Locked_desc","Un kit usato per costruire un Tavolo da Cucina Bloccato.","A kit used to build a Locked Kitchen Workbench.","Sada používaná k sestavení uzamčeného kuchyňského pracovního stolu.","Ein Bausatz zum Aufbau einer gesperrten Küchenwerkbank.","Комплект для сборки заблокированного кухонного верстака.","Zestaw używany do budowy zablokowanego stołu kuchennego.","Készlet lezárt konyhai munkapad építéséhez.","Un kit usato per costruire un Tavolo da Cucina Bloccato.","Kit utilizado para construir una mesa de cocina bloqueada.","Kit utilisé pour construire un établi de cuisine verrouillé.","用于建造固定厨房工作台的套件。","固定式キッチン作業台を組み立てるためのキット。","Kit usado para construir uma bancada de cozinha bloqueada.","用于建造固定厨房工作台的套件。"
"TH_CS_CB_Scale_Script","","","","","","","","","","","","","",""
"STR_TH_CS_CB_Scale","Vecchia Bilancia","Old Scale","Stará váha","Alte Waage","Старые весы","Stara waga","Régi mérleg","Vecchia Bilancia","Báscula antigua","Vieille balance","老式秤","古いはかり","Balança antiga","老式秤"
"STR_TH_CS_CB_Scale_desc","Una vecchia bilancia usata per la pesa di alimenti e simili.","An old scale used for weighing food and similar items.","Stará váha používaná k vážení potravin a podobných předmětů.","Eine alte Waage zum Wiegen von Lebensmitteln und ähnlichen Gegenständen.","Старые весы, используемые для взвешивания продуктов питания и подобных предметов.","Stara waga używana do ważenia żywności i podobnych przedmiotów.","Régi mérleg élelmiszerek és hasonló tárgyak mérésére.","Una vecchia bilancia usata per la pesa di alimenti e simili.","Una báscula antigua utilizada para pesar alimentos y objetos similares.","Une vieille balance utilisée pour peser des aliments et des objets similaires.","用于称量食物和类似物品的老式秤。","食料や同様の物を量るために使われる古いはかり。","Uma balança antiga usada para pesar alimentos e itens semelhantes.","用于称量食物和类似物品的老式秤。"
"TH_CS_CB_Still_Script","","","","","","","","","","","","","",""
"STR_TH_CS_CB_Still","Alambicco Improvvisato","Improvised Still","Improvizovaný destilační přístroj","Improvisierter Destillierapparat","Самодельный дистиллятор","Improwizowany aparat destylacyjny","Rögtönzött lepárló","Alambicco Improvvisato","Alambique improvisado","Alambic improvisé","简易蒸馏器","即席蒸留器","Alambique improvisado","简易蒸馏器"
"STR_TH_CS_CB_Still_desc","Un alambicco usato per la creazione di vari tipi di alcolici e sostanze raffinate.","A still used to produce various types of alcoholic beverages and refined substances.","Destilační přístroj používaný k výrobě různých druhů alkoholických nápojů a rafinovaných látek.","Ein Destillierapparat zur Herstellung verschiedener Arten von alkoholischen Getränken und raffinierten Substanzen.","Дистиллятор, используемый для производства различных видов алкогольных напитков и очищенных веществ.","Aparat destylacyjny używany do produkcji różnych rodzajów napojów alkoholowych i rafinowanych substancji.","Lepárlóberendezés különféle alkoholos italok és finomított anyagok előállításához.","Un alambicco usato per la creazione di vari tipi di alcolici e sostanze raffinate.","Un alambique utilizado para producir diversos tipos de bebidas alcohólicas y sustancias refinadas.","Un alambic utilisé pour produire différents types de boissons alcoolisées et de substances raffinées.","用于制作各种酒精饮料和精炼物质的蒸馏器。","さまざまな種類の酒類や精製物質を製造するために使用される蒸留器。","Um alambique usado para produzir vários tipos de bebidas alcoólicas e substâncias refinadas.","用于制作各种酒精饮料和精炼物质的蒸馏器。"
"TH_CS_CB_Stove_Script","","","","","","","","","","","","","",""
"STR_TH_CS_CB_Stove","Fornello Improvvisato","Improvised Stove","Improvizovaný vařič","Improvisierter Kocher","Самодельная горелка","Improwizowana kuchenka","Rögtönzött főzőlap","Fornello Improvvisato","Hornillo improvisado","Réchaud improvisé","简易炉具","即席コンロ","Fogareiro improvisado","简易炉具"
"STR_TH_CS_CB_Stove_desc","Un fornello da campo riadattato malamente per essere montato su un tavolo da cucina","A field stove crudely adapted to be mounted on a kitchen workbench.","Polní vařič nahrubo upravený pro montáž na kuchyňský pracovní stůl.","Ein Feldkocher, der notdürftig für die Montage auf einer Küchenwerkbank umgebaut wurde.","Походная горелка, грубо переделанная для установки на кухонный рабочий стол.","Kuchenka polowa prymitywnie przerobiona do montażu na stole kuchennym.","Egy tábori főzőlap, amelyet meglehetősen durván alakítottak át, hogy egy konyhai munkapadra lehessen szerelni.","Un fornello da campo riadattato malamente per essere montato su un tavolo da cucina","Un hornillo de campaña adaptado de forma rudimentaria para montarlo sobre una mesa de cocina.","Un réchaud de campagne grossièrement adapté pour être installé sur un établi de cuisine.","一个经过粗糙改装、用于安装在厨房工作台上的野外炉具。","キッチン作業台に取り付けられるよう、雑に改造された野外用コンロ。","Um fogareiro de campanha rudimentarmente adaptado para ser montado numa bancada de cozinha.","一个经过粗糙改装、用于安装在厨房工作台上的野外炉具。"
"STR_TH_CS_CB_MODULAR_DISMOUNT","Smonta Tavolo da Cucina","Dismantle Kitchen Workbench","Demontovat kuchyňský pracovní stůl","Küchenwerkbank abbauen","Разобрать кухонный верстак","Zdemontuj stół kuchenny","Konyhai munkapad szétszerelése","Smonta Tavolo da Cucina","Desmontar mesa de cocina","Démonter l'établi de cuisine","拆卸厨房工作台","キッチン作業台を解体する","Desmontar bancada de cozinha","拆卸厨房工作台"

